feature,importance
cat__incident_severity_Major Damage,0.12493755779503248
cat__incident_severity_Minor Damage,0.056938613025769996
cat__insured_hobbies_chess,0.04835053642719314
cat__incident_severity_Total Loss,0.043182313477010084
num__claim_to_premium_ratio,0.037651416859397394
num__vehicle_claim,0.03554821216690479
num__total_claim_amount,0.03550054879878932
num__component_sum,0.03435099984109159
cat__insured_hobbies_cross-fit,0.03222282787810088
num__property_claim,0.029712189739116362
num__injury_claim,0.02935543000970071
num__policy_annual_premium,0.027078570770642393
num__months_as_customer,0.026376264299196976
num__age,0.024516234913095857
num__incident_hour_of_the_day,0.022305078622207968
num__auto_year,0.020088934233457638
num__capital-gains,0.018795753711720552
num__capital-loss,0.01401344139780171
num__witnesses,0.009711414883191525
cat__insured_occupation_handlers-cleaners,0.009094830010093436
num__bodily_injuries,0.007805161106243832
num__policy_deductable,0.0077490378637255376
cat__insured_hobbies_golf,0.007144818541446861
cat__incident_state_SC,0.007092651456196708
num__umbrella_limit,0.006940809784223405
cat__property_damage_NO,0.006695883427422434
cat__insured_occupation_exec-managerial,0.006606467515037954
cat__incident_state_WV,0.006581281547869105
cat__collision_type_unknown,0.0063050132284051905
num__number_of_vehicles_involved,0.00562906966437742
cat__authorities_contacted_Police,0.005365009150668708
cat__incident_city_Arlington,0.0052182615433025055
cat__property_damage_unknown,0.005127589275461163
cat__policy_state_OH,0.004973280176365941
cat__authorities_contacted_Ambulance,0.004629772857479838
cat__insured_education_level_High School,0.004505204707827696
cat__policy_csl_250/500,0.004471728130924943
cat__policy_csl_500/1000,0.004223944519832438
cat__police_report_available_unknown,0.004069848965414409
cat__policy_state_IN,0.004046859088784847
cat__incident_state_NY,0.004008510496976264
cat__policy_csl_100/300,0.0038656239431424074
cat__authorities_contacted_Other,0.003836024807818852
cat__police_report_available_NO,0.0038278271598117274
cat__insured_sex_MALE,0.00379949988971853
cat__policy_state_IL,0.003680719098867447
cat__incident_type_Single Vehicle Collision,0.0036203392389073884
cat__insured_relationship_own-child,0.0035874863956585003
cat__insured_occupation_priv-house-serv,0.0035825182739105737
cat__insured_relationship_other-relative,0.0035741066734369044
cat__incident_severity_Trivial Damage,0.003511359947565938
num__no_police_report,0.0035101139104788226
cat__police_report_available_YES,0.0034726180056452883
cat__insured_education_level_MD,0.003455517636953817
num__is_night_incident,0.003440897975992363
cat__incident_type_Parked Car,0.0034186555403862783
cat__insured_education_level_JD,0.003372668369428491
cat__insured_hobbies_exercise,0.00336111468678702
cat__collision_type_Rear Collision,0.0033527527071059173
cat__insured_occupation_craft-repair,0.0032852097306117494
cat__insured_sex_FEMALE,0.0032372073953325932
cat__incident_state_NC,0.0032281816010553376
cat__incident_state_VA,0.003209651937547073
cat__property_damage_YES,0.003208525120570278
cat__collision_type_Front Collision,0.0031677974449215362
cat__incident_city_Riverwood,0.003162135781808434
cat__insured_relationship_unmarried,0.003128187380815531
num__has_witnesses,0.003123743597795863
cat__authorities_contacted_Fire,0.003117669942363857
cat__insured_relationship_wife,0.0028954536939140335
cat__authorities_contacted_unknown,0.002832919007547619
cat__incident_city_Columbus,0.002829943476074584
cat__insured_occupation_machine-op-inspct,0.0027293532896293477
